department_code	commune_name	priority_in_department	new_unique_places	new_relevant_places	total_unique_places	stale_query_count
78	Versailles	1	114	102	114	0
78	Sartrouville	2	46	44	160	0
78	Saint-Germain-en-Laye	3	49	42	209	0
78	Mantes-la-Jolie	4	87	64	296	0
78	Poissy	5	37	31	333	0
78	Conflans-Sainte-Honorine	6	31	24	364	0
78	Trappes	7	5	4	369	0
78	Les Mureaux	8	1	1	370	0
78	Houilles	9	8	6	378	0
78	Montigny-le-Bretonneux	10	12	5	390	0
78	Plaisir	11	22	21	412	0
78	Le Chesnay-Rocquencourt	12	29	23	441	0
78	Chatou	13	6	6	447	0
78	Guyancourt	14	18	12	465	0
78	Rambouillet	15	16	12	481	0
78	Élancourt	16	0	0	481	0
78	Maisons-Laffitte	17	13	8	494	0
78	Vélizy-Villacoublay	18	12	7	506	0
78	Mantes-la-Ville	19	1	1	507	0
78	Achères	20	0	0	507	0
78	Saint-Cyr-l'École	21	12	7	519	0
78	Carrières-sous-Poissy	22	1	1	520	0
78	Maurepas	23	3	3	523	0
78	La Celle-Saint-Cloud	24	7	1	530	0
78	Limay	25	3	0	533	0
78	Viroflay	26	5	2	538	0
78	Les Clayes-sous-Bois	27	2	2	540	0
78	Marly-le-Roi	28	7	3	547	0
78	Bois-d'Arcy	29	0	0	547	0
78	Verneuil-sur-Seine	30	1	0	548	0
78	Le Pecq	31	10	6	558	0
78	Le Vésinet	32	7	2	565	0
78	Carrières-sur-Seine	33	4	1	569	0
78	Montesson	34	1	1	570	0
78	Andrésy	35	11	2	581	0
78	Fontenay-le-Fleury	36	0	0	581	0
78	Aubergenville	37	1	0	582	0
78	Triel-sur-Seine	38	3	0	585	0
78	Villepreux	39	6	2	591	0
78	Croissy-sur-Seine	40	7	4	598	0
78	Chanteloup-les-Vignes	41	4	1	602	0
78	Voisins-le-Bretonneux	42	0	0	602	0
78	Vernouillet	43	12	10	614	0
78	Magny-les-Hameaux	44	8	2	622	0
78	Bougival	45	9	7	631	0
78	Meulan-en-Yvelines	46	2	0	633	0
78	Louveciennes	47	3	0	636	0
78	Jouy-en-Josas	48	1	0	637	0
78	Gargenville	49	0	0	637	0
78	Saint-Rémy-lès-Chevreuse	50	2	2	639	0
78	Noisy-le-Roi	51	0	0	639	0
78	Beynes	52	1	0	640	0
78	Rosny-sur-Seine	53	2	2	642	0
78	Le Mesnil-Saint-Denis	54	0	0	642	0
78	Orgeval	55	1	0	643	0
78	Épône	56	3	0	646	0
78	Les Essarts-le-Roi	57	7	5	653	0
78	Le Perray-en-Yvelines	58	1	1	654	0
78	Magnanville	59	0	0	654	0
78	Le Mesnil-le-Roi	60	0	0	654	0
78	Maule	61	2	1	656	0
78	Jouars-Pontchartrain	62	7	2	663	0
78	La Verrière	63	0	0	663	0
78	Villennes-sur-Seine	64	0	0	663	0
78	Saint-Arnoult-en-Yvelines	65	0	0	663	0
78	Chambourcy	66	2	0	665	0
78	Buc	67	4	1	669	0
78	Le Port-Marly	68	3	0	672	0
78	Chevreuse	69	3	1	675	0
78	Vaux-sur-Seine	70	1	0	676	0
78	L'Étang-la-Ville	71	10	8	686	0
78	Bonnières-sur-Seine	72	3	2	689	0
