department_code	commune_name	priority_in_department	new_unique_places	new_relevant_places	total_unique_places	stale_query_count
77	Meaux	1	87	66	87	0
77	Chelles	2	13	9	100	0
77	Melun	3	81	70	181	0
77	Pontault-Combault	4	4	4	185	0
77	Savigny-le-Temple	5	10	7	195	0
77	Bussy-Saint-Georges	6	98	88	293	0
77	Champs-sur-Marne	7	8	8	301	0
77	Villeparisis	8	0	0	301	0
77	Dammarie-les-Lys	9	3	2	304	0
77	Combs-la-Ville	10	9	6	313	0
77	Roissy-en-Brie	11	7	6	320	0
77	Torcy	12	16	13	336	0
77	Montereau-Fault-Yonne	13	3	2	339	0
77	Lagny-sur-Marne	14	6	6	345	0
77	Ozoir-la-Ferrière	15	14	8	359	0
77	Mitry-Mory	16	10	6	369	0
77	Le Mée-sur-Seine	17	8	6	377	0
77	Brie-Comte-Robert	18	5	5	382	0
77	Moissy-Cramayel	19	2	0	384	0
77	Coulommiers	20	12	7	396	0
77	Noisiel	21	0	0	396	0
77	Saint-Fargeau-Ponthierry	22	4	3	400	0
77	Montévrain	23	13	8	413	0
77	Fontainebleau	24	21	17	434	0
77	Lognes	25	3	1	437	0
77	Lieusaint	26	4	3	441	0
77	Vaires-sur-Marne	27	2	1	443	0
77	Avon	28	5	4	448	0
77	Claye-Souilly	29	2	1	450	0
77	Nemours	30	11	9	461	0
77	Moret-Loing-et-Orvanne	31	4	4	465	0
77	Dammartin-en-Goële	32	8	6	473	0
77	Provins	33	8	6	481	0
77	Vaux-le-Pénil	34	0	0	481	0
77	Cesson	35	2	0	483	0
77	Thorigny-sur-Marne	36	2	2	485	0
77	Serris	37	5	5	490	0
77	La Ferté-sous-Jouarre	38	2	2	492	0
77	Vert-Saint-Denis	39	2	1	494	0
77	Magny-le-Hongre	40	7	4	501	0
77	Nangis	41	1	1	502	0
77	Gretz-Armainvilliers	42	1	1	503	0
77	Tournan-en-Brie	43	5	1	508	0
77	Chessy	44	1	0	509	0
77	Émerainville	45	2	1	511	0
77	Courtry	46	3	3	514	0
77	Nanteuil-lès-Meaux	47	1	1	515	0
77	Bailly-Romainvilliers	48	0	0	515	0
77	Lésigny	49	5	4	520	0
77	Saint-Thibault-des-Vignes	50	15	7	535	0
77	Othis	51	3	3	538	0
77	Champagne-sur-Seine	52	6	4	544	0
77	Saint-Pathus	53	0	0	544	0
77	Nandy	54	7	1	551	0
77	Bois-le-Roi	55	2	2	553	0
77	Esbly	56	3	1	556	0
77	Fontenay-Trésigny	57	2	2	558	0
77	Mouroux	58	4	2	562	0
77	Quincy-Voisins	59	0	0	562	0
77	Crégy-lès-Meaux	60	0	0	562	0
77	Saint-Pierre-lès-Nemours	61	8	2	570	0
77	Mormant	62	30	7	600	0
77	Brou-sur-Chantereine	63	2	1	602	0
77	Trilport	64	1	0	603	0
77	Villenoy	65	1	0	604	0
