department_code	commune_name	priority_in_department	new_unique_places	new_relevant_places	total_unique_places	stale_query_count
92	Boulogne-Billancourt	1	116	96	116	0
92	Nanterre	2	66	59	182	0
92	Asnières-sur-Seine	3	54	36	236	0
92	Colombes	4	47	32	283	0
92	Courbevoie	5	11	10	294	0
92	Rueil-Malmaison	6	12	10	306	0
92	Levallois-Perret	7	8	7	314	0
92	Issy-les-Moulineaux	8	9	6	323	0
92	Clichy	9	12	8	335	0
92	Antony	10	90	85	425	0
92	Neuilly-sur-Seine	11	58	40	483	0
92	Clamart	12	55	52	538	0
92	Gennevilliers	13	11	11	549	0
92	Suresnes	14	7	7	556	0
92	Meudon	15	13	10	569	0
92	Montrouge	16	12	8	581	0
92	Bagneux	17	8	3	589	0
92	Puteaux	18	2	2	591	0
92	Châtillon	19	7	5	598	0
92	Châtenay-Malabry	20	12	5	610	0
92	Malakoff	21	7	2	617	0
92	La Garenne-Colombes	22	7	4	624	0
92	Saint-Cloud	23	4	3	628	0
92	Bois-Colombes	24	5	2	633	0
92	Le Plessis-Robinson	25	5	2	638	0
92	Vanves	26	9	4	647	0
92	Villeneuve-la-Garenne	27	12	12	659	0
92	Fontenay-aux-Roses	28	7	3	666	0
92	Sèvres	29	3	2	669	0
92	Bourg-la-Reine	30	7	5	676	0
92	Sceaux	31	1	1	677	0
92	Chaville	32	9	3	686	0
92	Garches	33	0	0	686	0
92	Ville-d'Avray	34	3	3	689	0
92	Vaucresson	35	7	2	696	0
